2024-01-23 09:18:50.148 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:18:50.173 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:18:53.667 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 551.0 | Позиция сейчас : 1
2024-01-23 09:18:56.105 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:18:56.130 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:18:59.474 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 551.0 | Позиция сейчас : 1
2024-01-23 09:19:02.058 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:04.619 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:04.643 | DEBUG    | __main__:check_position:124 - 112041346 | 2 | 1
2024-01-23 09:19:07.951 | INFO     | __main__:up_abs:169 - Объявление : 112041346 | Цена поднятия : 551.0 | Позиция сейчас : 1
2024-01-23 09:19:10.464 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:12.986 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:15.466 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:17.971 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:20.359 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:22.883 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:25.455 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:27.947 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:30.541 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:33.068 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:35.598 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:38.103 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:40.691 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:43.638 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:46.126 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
2024-01-23 09:19:48.747 | ERROR    | __main__:checking_position:227 - Название раздела для сбора : Создание и продвижение сайтов во Владивостоке
